TITLE	BSA_c1_g1_83mMYCl3_rep2
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	12:28:43
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00163
MAXY	     0.62789
MINY	    -0.00163
XYDATA
313.5000	0.0278885
313.0000	0.0280638
312.5000	0.0282794
312.0000	0.028899
311.5000	0.0293765
311.0000	0.0296087
310.5000	0.0299587
310.0000	0.0301965
309.5000	0.0310958
309.0000	0.0318409
308.5000	0.0326653
308.0000	0.0332746
307.5000	0.0342076
307.0000	0.0351603
306.5000	0.0365483
306.0000	0.0375901
305.5000	0.038818
305.0000	0.0402182
304.5000	0.0420243
304.0000	0.0439771
303.5000	0.0460783
303.0000	0.0481826
302.5000	0.0505517
302.0000	0.0531342
301.5000	0.0563156
301.0000	0.0594136
300.5000	0.0628933
300.0000	0.0668714
299.5000	0.0712808
299.0000	0.0758382
298.5000	0.0809413
298.0000	0.0863355
297.5000	0.0923883
297.0000	0.0990454
296.5000	0.10634
296.0000	0.114454
295.5000	0.123393
295.0000	0.133387
294.5000	0.144661
294.0000	0.157493
293.5000	0.171736
293.0000	0.187437
292.5000	0.204165
292.0000	0.22202
291.5000	0.240354
291.0000	0.259037
290.5000	0.277726
290.0000	0.296751
289.5000	0.316592
289.0000	0.337109
288.5000	0.358638
288.0000	0.381342
287.5000	0.405096
287.0000	0.429674
286.5000	0.453875
286.0000	0.47669
285.5000	0.497597
285.0000	0.516113
284.5000	0.531571
284.0000	0.544489
283.5000	0.554841
283.0000	0.56336
282.5000	0.570434
282.0000	0.576818
281.5000	0.582775
281.0000	0.588638
280.5000	0.594516
280.0000	0.600376
279.5000	0.605964
279.0000	0.610929
278.5000	0.614648
278.0000	0.616955
277.5000	0.61801
277.0000	0.617562
276.5000	0.615858
276.0000	0.61287
275.5000	0.609279
275.0000	0.604916
274.5000	0.599746
274.0000	0.594208
273.5000	0.588672
273.0000	0.58321
272.5000	0.578357
272.0000	0.574845
271.5000	0.573325
271.0000	0.574664
270.5000	0.579499
270.0000	0.589117
269.5000	0.602593
269.0000	0.616796
268.5000	0.626956
268.0000	0.627889
267.5000	0.6176
267.0000	0.598913
266.5000	0.578502
266.0000	0.562569
265.5000	0.553544
265.0000	0.549671
264.5000	0.547953
264.0000	0.546016
263.5000	0.544197
263.0000	0.543904
262.5000	0.545894
262.0000	0.548896
261.5000	0.549865
261.0000	0.54642
260.5000	0.538885
260.0000	0.52904
259.5000	0.519129
259.0000	0.509577
258.5000	0.500042
258.0000	0.489849
257.5000	0.479205
257.0000	0.469056
256.5000	0.460232
256.0000	0.453525
255.5000	0.44832
255.0000	0.443948
254.5000	0.439914
254.0000	0.43586
253.5000	0.431629
253.0000	0.4268
252.5000	0.421134
252.0000	0.414832
251.5000	0.408829
251.0000	0.403683
250.5000	0.400313
250.0000	0.399265

##### Extended Information
[Comment]
Sample Name	BSA_c1_g1_83mMYCl3_rep2
Comment	83mMYCl3
User	FZ
Division	TOF
Company	ILL

[Data Information]
Creation Date	28/03/2010 12:28
Data array type	Linear data array
Horizontal	Wavelength [nm]
Vertical	Abs
Start	800 nm
End	250 nm
Data pitch	0.5 nm
Data points	1101    

[Measurement Information]
Instrument Name	UV/Vis
Model Name	V-630
Serial No.	A062261148

Accessory	HMC-711
Accessory S/N	B001961107
  Cell Length	10 mm
  Temperature	25.00 C

Photometric Mode	Abs
Measurement range	800 - 250 nm
Data pitch	0.5 nm
Band width(UV/Vis)	1.5 nm
Response	Fast
Scanning speed	400 nm/min
Source Change	340 nm
Light Source	D2/WI
Filter Exchange	Step
Correction	Baseline

