TITLE	BSA_c1_g1_8.3mMYCl3
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	TOF
DATE	10/03/28
TIME	10:49:29
SPECTROMETER/DATA SYSTEM	
LOCALE	2057
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  800.0000
LASTX	  250.0000
NPOINTS	    1101
FIRSTY	    -0.00113
MAXY	     0.70314
MINY	    -0.00113
XYDATA
307.5000	0.0317884
307.0000	0.0328996
306.5000	0.0342284
306.0000	0.0354261
305.5000	0.0367949
305.0000	0.0382615
304.5000	0.0398704
304.0000	0.041831
303.5000	0.0437748
303.0000	0.0459344
302.5000	0.048436
302.0000	0.0513884
301.5000	0.0545866
301.0000	0.0577271
300.5000	0.0611338
300.0000	0.0650461
299.5000	0.0695199
299.0000	0.0745385
298.5000	0.0800249
298.0000	0.0858741
297.5000	0.0926221
297.0000	0.100194
296.5000	0.108792
296.0000	0.11825
295.5000	0.129097
295.0000	0.141176
294.5000	0.155198
294.0000	0.170925
293.5000	0.188811
293.0000	0.209105
292.5000	0.231356
292.0000	0.255271
291.5000	0.280156
291.0000	0.305898
290.5000	0.331966
290.0000	0.358613
289.5000	0.385263
289.0000	0.411998
288.5000	0.439104
288.0000	0.466485
287.5000	0.49393
287.0000	0.52
286.5000	0.544315
286.0000	0.566423
285.5000	0.586128
285.0000	0.602989
284.5000	0.617324
284.0000	0.62918
283.5000	0.63925
283.0000	0.647718
282.5000	0.655465
282.0000	0.662863
281.5000	0.670711
281.0000	0.678514
280.5000	0.686197
280.0000	0.692566
279.5000	0.69783
279.0000	0.701415
278.5000	0.703137
278.0000	0.702785
277.5000	0.700586
277.0000	0.696504
276.5000	0.691201
276.0000	0.685087
275.5000	0.677664
275.0000	0.669947
274.5000	0.66163
274.0000	0.653308
273.5000	0.644715
273.0000	0.635761
272.5000	0.62676
272.0000	0.617608
271.5000	0.609339
271.0000	0.601425
270.5000	0.594057
270.0000	0.586884
269.5000	0.579698
269.0000	0.57173
268.5000	0.562546
268.0000	0.552069
267.5000	0.54124
267.0000	0.530998
266.5000	0.522346
266.0000	0.51495
265.5000	0.507992
265.0000	0.499709
264.5000	0.489423
264.0000	0.477138
263.5000	0.464641
263.0000	0.453405
262.5000	0.444071
262.0000	0.436567
261.5000	0.430229
261.0000	0.424788
260.5000	0.420131
